iter	RMSE
0	2.049593061
1	2.780660494
2	2.864843363
3	2.873407855
4	2.874265672
5	2.874351517
6	2.260650322
7	2.805066316
8	2.867347411
9	2.873658855
10	2.874290791
11	2.874353977
12	2.483165425
13	2.832204644
14	2.870113293
15	2.873935863
16	2.8743185
17	2.874356826
18	2.543103462
19	2.839018727
20	2.87080357
21	2.874005013
22	2.874325492
23	2.874357473
24	2.586736271
25	2.843899059
26	2.87129693
27	2.874054479
28	2.874330412
29	2.874358121
30	1.530882469
31	2.689680733
32	2.855243328
33	2.872442635
34	2.874169077
35	2.874341806
36	1.827146343
37	2.738800317
38	2.860443774
39	2.872965638
40	2.874221518
41	2.874346986
42	2.173131967
43	2.791885277
44	2.865972689
45	2.873520795
46	2.874276937
47	2.874352683
48	2.273130211
49	2.805194611
50	2.867342219
51	2.873658078
52	2.874290791
53	2.874353977
54	2.347632788
55	2.81473819
56	2.868320963
57	2.873756115
58	2.874300632
59	2.874355013
60	0.4902412548
61	2.063200906
62	2.777653609
63	2.864515587
64	2.873374698
65	2.874262435
66	0.6665174775
67	2.256261038
68	2.804393833
69	2.867269533
70	2.873650826
71	2.874290015
72	0.9289076643
73	2.490662195
74	2.832354442
75	2.870123408
76	2.873936899
77	2.87431863
78	1.032903165
79	2.547352934
80	2.839276437
81	2.870825867
82	2.874007214
83	2.874325751
84	1.155366725
85	2.589433808
86	2.844040127
87	2.871308207
88	2.874055645
89	2.874330542
90	0.3863008868
91	1.548820526
92	2.687782485
93	2.855137356
94	2.872431881
95	2.874168041
96	0.5530034681
97	1.819124863
98	2.739777709
99	2.860545646
100	2.872975613
101	2.874222425
102	0.5969323411
103	2.178070736
104	2.792172396
105	2.865991258
106	2.873522608
107	2.874277325
108	0.648309283
109	2.276431433
110	2.805397324
111	2.867354939
112	2.873659374
113	2.874290921
114	0.7027196362
115	2.349109725
116	2.81471796
117	2.86831227
118	2.873755338
119	2.874300373
120	0.250306372
121	0.4960942189
122	2.086441287
123	2.780847865
124	2.864835828
125	2.873406819
126	0.2807751293
127	0.6681365734
128	2.279577844
129	2.806580672
130	2.867485898
131	2.873672583
132	0.3800056819
133	0.9582794056
134	2.496341839
135	2.832869738
136	2.870173719
137	2.87394169
138	0.4375586254
139	1.089160181
140	2.552310507
141	2.839310779
142	2.870828201
143	2.874007473
144	0.4790678007
145	1.214725838
146	2.592880332
147	2.84398111
148	2.871301337
149	2.874054738
150	0.2481428341
151	0.4214584513
152	1.54828651
153	2.689599925
154	2.855229511
155	2.872440821
156	0.2487415764
157	0.5549384611
158	1.832276733
159	2.740115925
160	2.860554493
161	2.872976908
162	0.3063103244
163	0.6066141479
164	2.183689448
165	2.792022175
166	2.865966845
167	2.87351963
168	0.4149481075
169	0.6625251916
170	2.280075082
171	2.804766319
172	2.86728485
173	2.873652121
174	0.4539417961
175	0.731141443
176	2.35150774
177	2.814058628
178	2.868236105
179	2.873747698
180	0.2481428341
181	0.4214584513
182	0.6813041811
183	2.081628753
184	2.780279156
185	2.864783215
186	0.2175021384
187	0.5549384611
188	0.7265087461
189	2.277149353
190	2.806218638
191	2.86745449
192	0.2670320654
193	0.5770192545
194	0.9458688745
195	2.49416366
196	2.832662422
197	2.870151157
198	0.4149481075
199	0.5859964878
200	1.080208581
201	2.550020036
202	2.839147716
203	2.870810311
204	0.4539417961
205	0.6047580585
206	1.207231687
207	2.590971349
208	2.843843179
209	2.871285524
210	0.2481428341
211	0.4214584513
212	0.6813041811
213	1.547835566
214	2.68962151
215	2.855216868
216	0.2175021384
217	0.5549384611
218	0.7265087461
219	1.83122449
220	2.740025874
221	2.860560218
222	0.2670320654
223	0.5770192545
224	0.6950739051
225	2.183094056
226	2.791959525
227	2.865963469
228	0.4149481075
229	0.5859964878
230	0.7105014336
231	2.278732241
232	2.8047289
233	2.867279138
234	0.4539417961
235	0.6047580585
236	0.7284584709
237	2.349870533
238	2.81396314
239	2.868225855
240	0.2481428341
241	0.4214584513
242	0.6813041811
243	0.7548894527
244	2.08149609
245	2.780251581
246	0.2175021384
247	0.5549384611
248	0.7265087461
249	0.7692256584
250	2.276989017
251	2.806250467
252	0.2670320654
253	0.5770192545
254	0.6950739051
255	0.9465627402
256	2.494603431
257	2.832719442
258	0.4149481075
259	0.5859964878
260	0.7105014336
261	1.080903105
262	2.550503801
263	2.839212077
264	0.4539417961
265	0.6047580585
266	0.7284584709
267	1.20807219
268	2.591294949
269	2.843873933
270	0.2481428341
271	0.4214584513
272	0.6813041811
273	0.7548894527
274	1.549577974
275	2.689885786
276	0.2175021384
277	0.5549384611
278	0.7265087461
279	0.7692256584
280	1.832416472
281	2.740189267
282	0.2670320654
283	0.5770192545
284	0.6950739051
285	0.7444047708
286	2.183343193
287	2.791996049
288	0.4149481075
289	0.5859964878
290	0.7105014336
291	0.7469087489
292	2.27898317
293	2.804757031
294	0.4539417961
295	0.6047580585
296	0.7284584709
297	0.7525912236
298	2.349930874
299	2.813934969
300	2.083859787
301	2.779112999
302	2.864698642
303	2.873393349
304	2.874264377
305	2.874351388
306	2.303444722
307	2.811101501
308	2.867970097
309	2.873721278
310	2.874297007
311	2.874354625
312	2.542163034
313	2.839109833
314	2.870814848
315	2.874006178
316	2.874325492
317	2.874357473
318	2.599360959
319	2.845456313
320	2.871456094
321	2.874070407
322	2.874331966
323	2.874358121
324	2.640038349
325	2.849892752
326	2.871903468
327	2.874115081
328	2.874336498
329	2.874358639
330	1.5089019
331	2.681838366
332	2.854487099
333	2.872367357
334	2.874161567
335	2.87434103
336	1.819118112
337	2.744478828
338	2.861085653
339	2.873030537
340	2.874227993
341	2.874347762
342	2.254059724
343	2.804361319
344	2.867273947
345	2.873651344
346	2.874290144
347	2.874353848
348	2.344881904
349	2.815516992
350	2.868412825
351	2.873765569
352	2.874301409
353	2.874355013
354	2.419653012
355	2.824560755
356	2.869334394
357	2.873857904
358	2.874310731
359	2.874356049
360	0.3918438611
361	2.033641903
362	2.774214347
363	2.864168412
364	2.873339986
365	2.874258939
366	0.5665772664
367	2.291157415
368	2.808391732
369	2.867684078
370	2.873692528
371	2.874294158
372	0.9272408728
373	2.527474436
374	2.837040552
375	2.870602364
376	2.873984941
377	2.87432342
378	1.10442908
379	2.583640972
380	2.843614414
381	2.871248972
382	2.874049688
383	2.874329894
384	1.248858233
385	2.625153399
386	2.848032814
387	2.871714263
388	2.874096175
389	2.874334556
390	0.2669862868
391	1.474987679
392	2.678799051
393	2.854110408
394	2.872328746
395	2.874157812
396	0.414336997
397	1.846597253
398	2.743246578
399	2.860925001
400	2.873014086
401	2.874226309
402	0.546703543
403	2.222731263
404	2.798879834
405	2.866701482
406	2.873593841
407	2.874284317
408	0.6290757682
409	2.321482604
410	2.812123244
411	2.867992417
412	2.87372335
413	2.874297265
414	0.7237398276
415	2.394932286
416	2.820842266
417	2.868943178
418	2.873818666
419	2.874306847
420	0.1350948053
421	0.40258019
422	2.036321062
423	2.774569826
424	2.864199727
425	2.873343094
426	0.2449080806
427	0.5983495839
428	2.282239073
429	2.807382815
430	2.867575061
431	2.87368139
432	0.3076656999
433	0.9490323487
434	2.5223931
435	2.836330512
436	2.87051887
437	2.873976654
438	0.3694694021
439	1.12173223
440	2.581089505
441	2.842814639
442	2.871188051
443	2.874043472
444	0.3847925862
445	1.266841149
446	2.621432442
447	2.847514773
448	2.871661387
449	2.874090866
450	0.07412698874
451	0.3147375251
452	1.469720541
453	2.677712537
454	2.853974271
455	2.872314882
456	0.1774631989
457	0.4570518109
458	1.822189317
459	2.740691202
460	2.860668461
461	2.872988178
462	0.2358453175
463	0.5682441582
464	2.218428426
465	2.798160909
466	2.866603333
467	2.873584516
468	0.3446763239
469	0.6431557017
470	2.320528381
471	2.811030008
472	2.867938953
473	2.873717782
474	0.3608879531
475	0.7340480867
476	2.393418395
477	2.82026473
478	2.868889732
479	2.873812967
480	0.0591583958
481	0.3147375251
482	0.592469545
483	2.028009001
484	2.773516671
485	2.864093827
486	0.1223744366
487	0.4570518109
488	0.6715914712
489	2.272596573
490	2.806324998
491	2.867471492
492	0.2303205173
493	0.5334246661
494	0.9460549648
495	2.516164337
496	2.835570945
497	2.870452488
498	0.3446763239
499	0.5425184089
500	1.114503685
501	2.574259447
502	2.842299575
503	2.871132961
504	0.3608879531
505	0.5489005084
506	1.263400932
507	2.61599132
508	2.846988794
509	2.871607602
510	0.0591583958
511	0.3147375251
512	0.592469545
513	1.465896408
514	2.676385583
515	2.85383552
516	0.1223744366
517	0.4570518109
518	0.6715914712
519	1.815662035
520	2.73967352
521	2.860545776
522	0.2303205173
523	0.5334246661
524	0.6698433315
525	2.211715381
526	2.797322328
527	2.866539197
528	0.3446763239
529	0.5425184089
530	0.671230273
531	2.312966347
532	2.810624851
533	2.867902488
534	0.3608879531
535	0.5489005084
536	0.7363740549
537	2.387125698
538	2.819944706
539	2.868854577
540	0.0591583958
541	0.3147375251
542	0.592469545
