iter	Passed	Remaining
0	17	37430
1	30	32410
2	43	30702
3	56	29858
4	69	29319
5	83	28978
6	96	28731
7	109	28527
8	122	28378
9	135	28245
10	147	28098
11	160	27973
12	173	27863
13	186	27772
14	199	27700
15	212	27658
16	225	27634
17	238	27597
18	251	27551
19	264	27494
20	277	27436
21	289	27384
22	302	27336
23	315	27287
24	328	27248
25	341	27210
26	353	27167
27	366	27129
28	379	27094
29	392	27054
30	415	27717
31	438	28326
32	461	28879
33	483	29392
34	506	29881
35	529	30339
36	551	30766
37	574	31182
38	597	31568
39	620	31947
40	643	32292
41	665	32610
42	688	32915
43	710	33206
44	733	33484
45	755	33754
46	778	34008
47	801	34250
48	824	34491
49	846	34715
50	869	34929
51	892	35133
52	914	35325
53	937	35508
54	959	35683
55	982	35853
56	1004	36019
57	1027	36176
58	1050	36330
59	1072	36479
60	1175	39285
61	1277	41998
62	1380	44621
63	1482	47169
64	1585	49627
65	1687	52012
66	1790	54317
67	1892	56566
68	1995	58746
69	2098	60842
70	2200	62876
71	2302	64853
72	2404	66772
73	2507	68640
74	2609	70456
75	2711	72219
76	2813	73929
77	2918	75644
78	3020	77263
79	3122	78843
80	3224	80380
81	3327	81877
82	3429	83334
83	3531	84756
84	3633	86142
85	3736	87498
86	3838	88812
87	3941	90126
88	4044	91382
89	4146	92611
90	4349	96021
91	4552	99363
92	4755	102621
93	4960	105860
94	5163	108978
95	5366	112023
96	5569	115001
97	5772	117918
98	5977	120815
99	6180	123600
100	6382	126324
101	6585	128994
102	6787	131604
103	6992	134196
104	7195	136705
105	7397	139152
106	7599	141547
107	7802	143903
108	8007	146259
109	8209	148522
110	8412	150748
111	8615	152924
112	8818	155067
113	9022	157185
114	9225	159241
115	9428	161261
116	9631	163245
117	9834	165184
118	10039	167132
119	10242	168998
120	11247	183964
121	12252	198652
122	13259	213122
123	14266	227348
124	15277	241381
125	16303	255426
126	17326	269168
127	18350	282719
128	19372	295997
129	20394	309057
130	21420	321961
131	22443	334615
132	23465	347037
133	24487	359264
134	25511	371331
135	26535	383201
136	27560	394896
137	28585	406412
138	29606	417690
139	30629	428811
140	31653	439778
141	32679	450602
142	33704	461252
143	34729	471745
144	35756	482093
145	36778	492226
146	37804	502263
147	38830	512149
148	39854	521856
149	40878	531419
150	41942	541359
151	43431	556614
152	45477	578723
153	47526	600561
154	49572	622061
155	51617	643228
156	53664	664139
157	55356	680397
158	57362	700260
159	59402	720258
160	61437	739924
161	63472	759322
162	65510	778486
